City,Max Temp,Lat,Humidity,Cloudiness,Wind Speed
Basco,29.3,40.33,88,90,10.29
Airai,69.1,-8.93,92,32,1.7
Zeya,-14.24,53.74,41,0,7.4
Saskylakh,-56.63,71.97,0,0,7.29
Eyl,72.88,7.98,100,0,16.69
Kodiak,32.0,39.95,96,90,11.41
Hualmay,76.26,-11.1,69,20,6.29
Dwarka,48.2,28.58,70,0,8.05
Tiksi,-35.44,71.64,67,36,2.82
Bara,68.34,10.41,32,0,7.18
Kajaani,19.4,64.22,85,90,9.17
Soavinandriana,57.36,-19.17,86,12,5.39
Husavik,12.04,50.56,92,24,3.94
Deputatskiy,-32.65,69.3,54,48,2.93
Najran,66.2,17.54,25,0,3.6
Gamarra,92.91,8.32,42,8,3.49
Valparaiso,28.4,41.47,83,1,5.82
Ilulissat,-7.61,69.22,52,40,1.12
Kahului,78.98,20.89,58,20,3.36
Lubao,77.0,14.94,78,40,2.24
Tilichiki,-27.74,60.47,43,0,7.63
Orlik,-29.63,52.51,39,0,1.92
Saint Simons,50.0,31.14,81,90,2.93
Kotka,24.8,60.47,92,90,8.05
Vigrestad,35.6,58.57,84,75,8.05
Zhigansk,-33.23,66.77,60,8,3.94
Ixtapa,82.4,20.71,61,75,6.93
Stephenville,45.32,32.22,60,90,4.72
Los Llanos de Aridane,64.4,28.66,36,0,8.05
Yavatmal,56.91,20.39,61,0,8.19
Samarai,82.24,-10.62,100,80,13.11
Cacule,85.44,-14.5,43,64,10.54
Bacolod,73.74,10.68,90,56,9.19
Port Lincoln,67.3,-34.72,92,20,2.71
Bulaevo,20.59,54.91,89,88,6.06
Moose Factory,12.2,51.26,51,1,12.75
Santa Isabel do Rio Negro,85.17,-0.41,72,24,4.72
Diapaga,67.44,12.07,33,0,6.06
Ekibastuz,16.9,51.72,69,64,7.52
Richards Bay,76.44,-28.77,89,12,4.38
Cap Malheureux,80.6,-19.98,74,40,9.17
Trairi,79.59,-3.28,100,24,6.96
Yinchuan,2.77,38.48,34,48,4.83
Ambon,46.4,47.55,70,90,2.24
Gambela,60.87,8.25,72,0,2.93
Arlit,53.26,18.74,60,0,1.59
Naze,80.08,5.43,76,36,7.74
Praia da Vitoria,57.2,38.73,100,40,8.41
Shieli,37.96,44.18,89,80,12.88
Bull Savanna,78.55,17.89,61,64,3.71
Kruisfontein,64.29,-34.0,95,0,4.94
Tuktoyaktuk,-11.21,69.44,76,75,10.29
Faanui,81.84,-16.48,100,92,16.35
Comodoro Rivadavia,80.6,-45.87,21,0,19.46
Nikolskoye,32.0,59.7,95,90,6.71
Padang,75.81,-0.92,100,92,8.63
Dingle,74.41,11.0,90,64,11.65
Thompson,-7.61,55.74,63,90,2.24
Aykhal,-56.09,65.95,0,0,2.71
Pevek,-15.64,69.7,100,76,11.65
Upata,87.87,8.02,39,88,8.41
Talnakh,6.1,69.49,80,76,19.71
Ketchikan,46.04,55.34,96,90,4.7
Ilhabela,77.02,-23.78,100,56,3.49
Obigarm,11.05,38.72,69,92,1.36
Klaksvik,32.0,62.23,100,92,26.4
Kaitangata,56.19,-46.28,92,20,5.73
Morogoro,77.0,-6.82,78,40,11.41
Sibolga,68.11,1.74,100,68,1.7
Svetlogorsk,6.8,53.14,84,76,6.71
Ostrovnoy,9.57,68.05,80,24,7.07
Aparecida do Taboado,91.78,-20.08,48,12,3.15
Saldanha,28.96,41.42,91,20,4.27
Sorland,33.8,67.67,50,40,19.46
Rocky Mountain House,39.85,52.38,39,0,3.83
Mwinilunga,64.47,-11.73,92,76,4.61
Shitanjing,-14.29,39.23,37,20,2.37
Carnarvon,66.09,-30.97,17,0,10.54
Along,44.31,28.17,79,8,2.04
Fort Nelson,1.4,58.81,84,75,5.82
Murygino,17.89,58.74,85,88,12.77
Hirado,53.8,33.32,100,88,17.92
Druzhba,25.77,49.36,85,44,12.77
Udon Thani,72.97,17.4,62,64,6.73
Jizan,77.0,16.89,78,0,5.84
Bilibino,-46.69,68.06,0,12,2.37
Lagoa,51.8,37.14,66,0,8.05
Buala,77.07,-8.15,100,92,3.6
Marigot,84.2,18.23,62,20,12.75
Carepa,84.2,7.76,66,75,17.22
Dospat,23.11,41.65,83,88,2.15
Naco,60.08,31.32,33,1,5.84
Komsomolskiy,10.11,67.55,85,80,12.44
Batemans Bay,72.52,-35.71,91,0,4.38
Fairbanks,-4.18,64.84,84,1,2.93
Eureka,64.04,40.8,100,40,4.05
Beringovskiy,-3.49,63.05,88,88,30.78
Maizuru,24.28,35.47,100,56,2.59
Lata,25.59,30.78,64,0,2.59
Mana,28.4,43.52,100,0,3.36
Kirakira,82.74,-10.46,100,8,5.61
Tual,81.88,-5.67,100,64,10.98
Sola,35.6,58.89,100,75,8.05
Mehran,41.0,33.12,93,20,2.24
Volterra,53.6,43.4,22,0,9.17
Vestmannaeyjar,39.04,63.44,100,48,23.06
Tairua,62.49,-37.02,83,8,2.71
Avera,50.0,33.19,83,90,3.36
Tiarei,86.0,-17.53,70,75,16.11
Tecoanapa,86.0,16.99,66,40,5.82
Port Macquarie,73.4,-31.43,78,0,8.05
Saint Andrews,54.66,-44.53,100,56,3.15
Coihaique,73.4,-45.58,22,0,4.7
Marystown,27.43,47.17,100,44,12.55
Koumac,78.96,-20.56,85,24,6.85
Nara,41.0,34.68,85,75,2.24
Inirida,81.12,3.87,85,24,2.37
Muros,44.6,42.77,87,0,4.7
Esmeralda,71.17,-34.33,46,0,2.59
Alta Gracia,73.4,-31.66,73,75,9.17
Broome,40.82,52.47,93,20,6.93
Ballymena,48.2,54.87,93,75,12.75
Katsuura,37.4,33.93,100,40,6.93
Luanda,78.8,-8.83,78,20,6.93
Mount Gambier,62.6,-37.83,82,24,4.7
Barra do Bugres,87.87,-15.07,72,20,2.82
Payo,73.15,-3.75,95,80,5.73
Malaba,62.35,0.64,95,44,6.62
Isangel,78.51,-19.55,100,44,14.67
Maxixe,79.36,-23.86,100,88,10.65
Kavieng,80.71,-2.57,100,64,10.65
Huaraz,47.19,-9.53,98,68,0.47
Codrington,68.0,-28.95,93,40,3.36
Cabimas,85.89,10.39,71,0,3.38
Atambua,75.04,-9.11,100,88,2.04
Kupang,80.49,-10.16,96,76,7.52
Mahwa,42.01,27.05,62,0,6.4
Baykit,-6.86,61.68,57,76,2.71
Alyth,42.8,56.62,93,20,10.29
Sioux Lookout,17.6,50.1,78,75,5.82
Te Anau,49.39,-45.41,86,48,2.71
Saint-Georges,11.5,46.12,62,0,3.71
Poddorye,31.12,57.47,90,88,16.24
Tuatapere,55.47,-46.13,100,64,3.6
Baiquan,3.85,47.61,62,32,16.24
Walvis Bay,68.0,-22.95,77,92,5.82
Portland,46.94,45.52,45,20,21.92
Okakarara,67.84,-20.59,83,56,4.61
Provideniya,14.0,64.42,92,90,29.08
Hasaki,28.4,35.73,100,40,3.36
Geraldton,17.6,49.72,61,90,10.29
Viedma,89.35,-40.81,25,0,7.18
Taltal,71.26,-25.41,60,0,4.5
Petropavlovka,-23.29,50.61,32,0,3.94
Shimoda,49.03,34.7,100,0,7.96
Andros,53.6,37.83,62,88,5.82
Gat,75.2,14.69,33,0,12.75
Lively,45.32,32.41,76,1,4.72
Djibo,67.48,14.1,29,12,6.96
Prieska,69.91,-29.67,22,0,6.85
Raudeberg,32.0,61.99,100,40,13.87
Kibala,80.6,9.11,18,12,6.93
Cidreira,83.64,-30.17,86,68,3.71
Waki,42.08,34.19,78,75,5.82
Shenjiamen,50.11,29.96,100,92,14.9
Narsaq,24.8,60.91,73,75,4.7
Garissa,86.11,-0.46,48,32,11.43
Gengenbach,42.8,48.4,100,0,3.36
Luderitz,65.5,-26.65,63,0,22.28
Kununurra,77.0,-15.77,88,12,3.04
Acapulco,86.0,16.86,66,40,5.82
Aquiraz,79.32,-3.9,84,12,5.84
Egvekinot,-14.42,66.32,82,76,3.83
San Miguel,82.4,-34.54,65,20,12.75
Yokadouma,71.89,3.52,87,12,2.59
Ikryanoye,30.2,46.1,92,90,11.18
Havelock,41.0,34.88,79,90,10.29
Porto Novo,71.71,-23.68,100,36,3.71
Balad,78.64,-6.76,100,32,5.17
Aligudarz,41.74,33.4,59,24,16.24
Xinmin,14.0,42.0,33,0,15.66
Jasper,41.0,33.83,80,24,5.73
Namatanai,79.9,-3.66,100,80,11.54
Marsabit,68.47,2.34,68,0,5.61
Pacifica,57.02,37.61,69,90,8.05
Kutum,52.99,14.2,76,8,3.38
Yulara,82.4,-25.24,23,0,3.36
Coquimbo,69.8,-29.95,56,0,14.99
Hukuntsi,71.26,-23.98,71,48,3.04
Beloha,78.24,-25.17,90,76,1.36
Valreas,48.2,44.38,57,0,34.45
Shelburne,28.4,44.08,68,20,2.24
Sakaiminato,39.2,35.55,64,75,4.7
Bela,42.24,26.23,87,12,0.92
Chuy,75.58,-33.69,93,68,9.98
Saint-Joseph,51.8,43.56,87,0,5.82
Luwingu,66.22,-10.26,92,92,5.5
Thinadhoo,82.33,0.53,100,68,9.42
Beaufort,78.8,5.36,94,75,3.15
Kaeo,64.96,-35.1,83,24,14.12
Nikki,71.35,9.94,33,0,7.29
Flinders,71.49,-34.58,86,100,5.17
Half Moon Bay,57.02,37.46,69,90,8.05
Awjilah,51.06,29.14,47,0,12.88
Polson,21.92,47.69,77,90,3.36
Shingu,50.07,33.72,100,44,3.94
Fortuna,53.6,38.18,76,0,6.93
Hanzhong,27.43,33.08,70,92,2.37
Batticaloa,75.99,7.71,100,92,7.18
Punta Cardon,84.81,11.61,53,0,23.51
Camacupa,67.3,-12.02,73,48,9.31
Wangqing,12.04,43.31,77,48,3.71
Pangnirtung,-7.61,66.15,69,75,5.82
Cocorit,77.0,27.57,27,90,3.36
Tulum,75.2,20.21,94,90,8.05
Grand Gaube,80.6,-20.01,74,40,9.17
Buin,77.0,-33.73,41,75,16.11
Ushtobe,12.22,45.25,52,68,4.5
Mayna,-11.77,53.0,52,0,1.92
Atoka,42.8,34.39,80,90,4.05
Nhulunbuy,78.8,-12.18,94,40,4.7
Cherdyn,14.79,60.4,81,80,6.4
Sijunjung,68.97,-0.69,98,92,2.37
Bambanglipuro,72.25,-7.95,100,64,2.93
Caravelas,81.16,-17.73,100,0,13.89
Birin,36.84,35.01,87,24,5.39
Smirnykh,-2.54,49.74,83,76,2.59
Waingapu,74.19,-9.65,100,44,4.27
Puerto Madryn,79.41,-42.77,45,0,21.05
Cockburn Town,79.09,21.46,100,68,8.41
Xining,2.41,36.62,78,68,1.92
Ratnagiri,78.73,16.98,96,0,6.62
La Ronge,15.8,55.1,85,90,9.17
Ewa Beach,78.08,21.32,62,90,3.94
Kitimat,37.4,54.02,93,90,21.92
Birobidzhan,-1.28,48.79,69,56,3.15
Yerbogachen,-16.72,61.28,48,56,2.71
Buraydah,57.2,26.33,44,40,10.29
Mahebourg,80.6,-20.41,74,40,9.17
Baruun-Urt,-18.34,46.68,48,0,9.42
Lebu,59.0,8.96,19,0,5.82
Marawi,57.81,8.0,98,12,1.92
Chadan,-23.96,51.29,60,8,2.37
Jinka,57.58,5.79,63,0,1.48
Kavaratti,82.33,10.57,100,0,6.96
Buzmeyin,50.0,38.05,81,75,11.41
Puerto Baquerizo Moreno,77.0,-0.9,94,90,9.17
Ribeira Grande,59.0,38.52,82,40,5.82
Laguna,77.0,27.52,27,90,3.36
Ampanihy,76.26,-24.69,76,76,6.62
Jacareacanga,80.31,-6.22,80,92,2.37
Wanning,32.0,48.64,92,75,13.87
Tura,48.76,25.52,79,0,2.15
Suntar,-36.74,62.16,72,0,4.38
Montepuez,71.71,-13.13,96,56,2.93
Muli,52.63,22.62,77,0,4.72
Xihe,13.17,34.02,84,80,3.04
Tabou,82.96,4.42,99,12,7.74
Lac du Bonnet,16.54,50.25,86,32,4.5
Makat,20.82,47.65,86,68,3.27
Lapua,23.0,62.97,92,76,4.7
North Myrtle Beach,41.0,33.83,82,90,8.05
Nemuro,27.16,43.32,100,0,10.2
Meulaboh,75.09,4.14,100,92,4.27
Oyon,53.04,-10.67,70,88,0.69
Manakara,79.72,-22.14,95,56,6.96
Porto Velho,84.85,-8.75,66,8,3.15
Grootfontein,67.12,-19.56,91,48,3.38
Benidorm,53.6,38.54,76,0,6.93
San Jose,66.81,15.79,97,32,2.59
Albert,39.2,50.0,86,0,8.05
Dossor,23.34,47.52,89,68,3.6
Hemnesberget,32.0,66.23,91,0,3.36
Mango,57.2,44.69,19,0,14.99
Conceicao da Barra,80.98,-18.59,86,0,10.98
Abengourou,82.11,6.73,67,32,7.96
Lazaro Cardenas,60.8,28.39,38,75,8.05
Nanortalik,27.21,60.14,95,88,5.61
Narrabri,80.6,-30.33,39,0,10.29
Elektrogorsk,28.4,55.88,86,90,15.66
Ahwa,59.83,20.76,64,0,8.97
Ukiah,57.92,39.15,37,90,14.99
Oyama,26.6,36.31,92,20,2.24
Poum,28.4,41.28,86,90,2.24
Biak,73.29,-0.91,100,92,3.71
Erzin,48.2,36.95,81,75,5.82
Nampula,72.84,-15.12,92,24,3.15
Haines Junction,-8.8,60.75,73,56,2.26
Tromso,19.4,69.65,92,20,3.36
Norman Wells,-11.21,65.28,69,75,12.75
Qaqortoq,24.8,60.72,73,75,4.7
Dauphin,15.8,51.15,92,90,8.05
Urdoma,19.06,61.74,80,80,7.63
Usvyaty,33.19,55.75,97,92,13.11
Emerald,75.2,-23.53,78,40,5.82
Shagonar,-29.59,51.54,44,8,2.15
Salinas,57.2,36.67,67,20,8.05
Puerto Colombia,84.2,10.99,66,0,16.11
Yeppoon,73.4,-23.13,88,75,4.7
Panevezys,24.8,55.73,92,0,9.17
Pacific Grove,57.2,36.62,52,20,10.29
Saint-Augustin,50.0,44.83,70,90,6.93
Gao,64.06,16.28,35,0,6.62
Nenjiang,-6.05,49.17,57,0,10.31
Petropavlovsk-Kamchatskiy,10.4,53.05,85,20,6.71
Tarrafal,71.6,15.28,68,40,20.8
Sembakung,73.47,3.82,100,76,2.48
Leningradskiy,-7.09,69.38,91,80,12.44
Pilar,82.4,-34.46,65,20,12.75
Baghdad,48.2,33.3,70,0,4.7
Chokurdakh,-24.32,70.62,37,68,3.15
Chapais,12.2,49.78,85,90,6.93
Benito Juarez,73.6,28.64,33,56,4.72
Vila do Maio,71.6,15.13,68,40,20.8
Aswan,43.41,24.09,87,0,4.61
Antofagasta,68.0,-23.65,64,75,17.22
Port Hardy,44.6,50.7,87,20,3.38
Pasighat,45.66,28.06,77,0,2.15
San Ignacio,86.0,-36.8,33,40,5.82
Camopi,76.75,3.17,93,76,2.59
Skrunda,32.0,56.68,87,76,10.29
Casa Nova,84.85,-11.77,54,88,12.66
Varhaug,35.6,58.61,100,75,8.05
Aljezur,51.87,37.31,100,0,7.52
Sardarpur,52.14,22.68,69,0,9.19
Ilo,75.2,-17.65,69,0,12.75
Snezhnogorsk,-5.81,69.19,76,40,2.24
Wamba,78.69,2.14,45,56,3.04
Luoyang,24.46,34.66,57,64,3.49
Bonavista,23.07,48.65,100,0,14.45
Kilindoni,82.74,-7.91,100,8,6.4
Lumatil,68.79,5.87,100,20,1.59
Konongo,78.24,6.62,82,12,6.06
Guerrero Negro,70.59,27.97,63,0,4.94
Anadyr,-14.81,64.73,75,75,15.66
Mae Sai,64.4,20.44,100,56,1.81
Byron Bay,69.8,-28.65,100,40,1.7
Hofn,38.23,64.25,100,80,7.18
Kangshan,62.6,24.68,82,75,2.24
Ayan,29.05,40.67,92,92,3.49
Kundiawa,57.54,-6.02,95,36,1.81
Port-Cartier,10.4,50.03,66,90,3.36
Iskateley,19.47,67.68,88,88,16.35
Nizwa,50.47,22.93,87,20,2.93
Udachnyy,-57.53,66.42,0,0,2.48
Burrel,35.6,41.61,93,75,4.7
Shebalino,-18.07,51.29,45,0,2.04
Lufilufi,86.0,-13.87,74,40,5.82
Bulembu,75.2,-25.95,94,100,3.36
Celendin,64.4,-6.87,55,75,10.29
New Iberia,48.92,30.0,58,40,12.75
Hovd,30.2,63.83,92,90,14.99
Gol,49.21,25.38,43,0,3.71
Dehloran,50.2,32.69,85,20,4.72
Togur,10.78,58.36,79,24,11.65
Calatagan,77.97,13.88,100,8,24.07
Vangaindrano,74.23,-23.35,100,92,2.15
La Rioja,70.27,-29.41,100,92,4.27
Gvardeysk,33.8,54.65,74,75,17.9
Nalut,43.0,31.86,68,0,12.1
Champerico,82.4,16.38,48,75,16.11
Khilok,-4.79,51.36,49,8,9.08
Khandyga,-46.01,62.65,0,44,2.48
Margate,66.2,-43.03,82,20,5.82
Takehara,42.08,34.35,78,75,5.82
Shache,6.87,38.42,62,0,3.38
Wentzville,33.08,38.81,75,90,4.7
Ibra,53.08,22.69,100,0,0.36
Dumas,69.46,21.09,97,0,16.8
Parauna,70.18,-3.82,96,88,2.04
Basi,74.46,7.97,81,48,1.59
Ust-Tsilma,17.04,65.44,83,80,5.17
Port-Gentil,82.4,-0.72,83,40,5.82
Alta Floresta,79.86,-9.87,96,80,2.48
Bathsheba,80.6,13.22,65,40,16.11
Koslan,18.43,63.46,78,80,5.95
Mount Isa,78.8,-20.73,41,0,3.36
Lasa,60.8,34.92,77,75,21.92
San Juan,80.96,18.47,64,20,13.87
Gazli,50.92,40.13,92,56,11.32
Wajima,32.07,37.4,100,48,5.06
Zhezkazgan,19.42,47.8,77,56,2.93
Lima,77.0,-12.06,69,0,17.22
